"Review_ID","Review_Score","Review_Description"
"RV00001",3.1,"So so"
"RV00002",1.7,"natural"
"RV00003",4,"Perfect"
"RV00004",5,"Bad"
"RV00005",8.5,"Poor"
"RV00006",4,"So so"
"RV00007",3.1,"Good"
"RV00008",3.7,"Poor"
"RV00009",2.2,"Bad"
"RV00010",6.3,"Poor"
"RV00011",5.9,"So so"
"RV00012",1.5,"Poor"
"RV00013",1.6,"So so"
"RV00014",2.1,"Good"
"RV00015",3.3,"Good"
"RV00016",9.9,"natural"
"RV00017",8.8,"Good"
"RV00018",2.2,"Good"
"RV00019",4.2,"So so"
"RV00020",5,"Perfect"
"RV00021",1.3,"Bad"
"RV00022",8.1,"Perfect"
"RV00023",2.4,"Bad"
"RV00024",6,"natural"
"RV00025",3.9,"Perfect"
"RV00026",2.7,"natural"
"RV00027",4.8,"Poor"
"RV00028",3.9,"natural"
"RV00029",6.3,"Bad"
"RV00030",7,"Good"
"RV00031",2.9,"Poor"
"RV00032",7.6,"natural"
"RV00033",7,"natural"
"RV00034",3.3,"Perfect"
"RV00035",4.9,"Bad"
"RV00036",3.1,"natural"
"RV00037",5,"So so"
"RV00038",1.9,"Bad"
"RV00039",6.4,"Perfect"
"RV00040",9.4,"Good"
"RV00041",9.9,"Good"
"RV00042",1.6,"So so"
"RV00043",3.8,"Good"
"RV00044",8.9,"So so"
"RV00045",2.8,"Perfect"
"RV00046",4.9,"natural"
"RV00047",4.6,"natural"
"RV00048",4.7,"Bad"
"RV00049",8.9,"Bad"
"RV00050",5.7,"So so"
"RV00051",2.8,"natural"
"RV00052",5,"Poor"
"RV00053",7,"Poor"
"RV00054",9.9,"Poor"
"RV00055",2.3,"Perfect"
"RV00056",3.6,"Perfect"
"RV00057",2.2,"So so"
"RV00058",1.4,"natural"
"RV00059",8,"Perfect"
"RV00060",1.9,"Good"
"RV00061",6.3,"So so"
"RV00062",2,"natural"
"RV00063",2.9,"Good"
"RV00064",4.8,"Good"
"RV00065",3.8,"Bad"
"RV00066",2.4,"natural"
"RV00067",1.6,"natural"
"RV00068",7.4,"Poor"
"RV00069",2.7,"natural"
"RV00070",6.5,"natural"
"RV00071",2.5,"Bad"
"RV00072",7.5,"natural"
"RV00073",4.1,"natural"
"RV00074",1.8,"Poor"
"RV00075",6.5,"natural"
"RV00076",8.8,"Perfect"
"RV00077",8.1,"Poor"
"RV00078",7.2,"So so"
"RV00079",1.9,"Good"
"RV00080",8.9,"So so"
"RV00081",5.3,"Good"
"RV00082",8.1,"So so"
"RV00083",1.6,"Good"
"RV00084",4.7,"Perfect"
"RV00085",1.4,"Poor"
"RV00086",3.5,"Bad"
"RV00087",9.6,"Good"
"RV00088",3.3,"Good"
"RV00089",2.7,"natural"
"RV00090",2,"Good"
"RV00091",4.7,"Bad"
"RV00092",6.4,"So so"
"RV00093",1.3,"Bad"
"RV00094",5.1,"Perfect"
"RV00095",8.1,"Perfect"
"RV00096",2,"Bad"
"RV00097",3.5,"Good"
"RV00098",7.3,"Bad"
"RV00099",5.5,"Bad"
"RV00100",5.8,"Bad"
"RV00101",7.8,"Bad"
"RV00102",1.5,"Poor"
"RV00103",8.8,"Poor"
"RV00104",9.4,"natural"
"RV00105",2.3,"natural"
"RV00106",6.1,"Perfect"
"RV00107",7.3,"Bad"
"RV00108",9.5,"Perfect"
"RV00109",1.9,"Good"
"RV00110",2.8,"Bad"
"RV00111",1.4,"natural"
"RV00112",4.3,"Perfect"
"RV00113",1,"So so"
"RV00114",5.1,"Bad"
"RV00115",8.9,"Good"
"RV00116",3.6,"Good"
"RV00117",4.1,"Good"
"RV00118",5.4,"Bad"
"RV00119",1.9,"natural"
"RV00120",3.7,"Bad"
"RV00121",8,"So so"
"RV00122",6.8,"Bad"
"RV00123",9.1,"Bad"
"RV00124",8.3,"So so"
"RV00125",2.6,"Good"
"RV00126",9.7,"Poor"
"RV00127",4.2,"Good"
"RV00128",2.1,"Good"
"RV00129",3.4,"Good"
"RV00130",5.6,"Good"
"RV00131",7.2,"Bad"
"RV00132",4.7,"Poor"
"RV00133",4.2,"natural"
"RV00134",7.9,"Good"
"RV00135",7.9,"Poor"
"RV00136",7.6,"Bad"
"RV00137",5.7,"natural"
"RV00138",7,"Perfect"
"RV00139",7.9,"natural"
"RV00140",5.8,"Poor"
"RV00141",2.5,"So so"
"RV00142",7.9,"Good"
"RV00143",4.7,"Bad"
"RV00144",9,"Good"
"RV00145",4.6,"Good"
"RV00146",6.3,"natural"
"RV00147",6,"Poor"
"RV00148",1.8,"So so"
"RV00149",5.4,"Poor"
"RV00150",4.3,"Bad"
"RV00151",7.3,"Poor"
"RV00152",8.9,"natural"
"RV00153",7.9,"Bad"
"RV00154",6,"Poor"
"RV00155",7.7,"Poor"
"RV00156",1.7,"Perfect"
"RV00157",2.5,"Poor"
"RV00158",9.5,"Good"
"RV00159",1.8,"Perfect"
"RV00160",1.3,"Bad"
"RV00161",3.6,"Poor"
"RV00162",6.5,"Bad"
"RV00163",7.3,"Poor"
"RV00164",2,"natural"
"RV00165",2.2,"Perfect"
"RV00166",3.6,"Perfect"
"RV00167",7.7,"Bad"
"RV00168",7.9,"Bad"
"RV00169",6.9,"natural"
"RV00170",2.2,"Bad"
"RV00171",4.3,"Poor"
"RV00172",6.8,"Good"
"RV00173",3.9,"Perfect"
"RV00174",3.6,"Bad"
"RV00175",4,"Bad"
"RV00176",8.2,"So so"
"RV00177",7.1,"Poor"
"RV00178",1.1,"Perfect"
"RV00179",6.1,"Good"
"RV00180",9.4,"So so"
"RV00181",5.8,"natural"
