"address_id","house_number","house_name","street","city","county","post_code","Address_ID"
6544263885,563,"Kelham Island","Parsons Green Lane","Brighton","Herefordshire","LE1 1AA","AD00001"
1464102031,368,"The Leverton","Wilton Road","Sheffield","Dorset","YO1 1AA","AD00002"
6590069980,831,"The Drapery","Gillespie Road","Doncaster","Cumbria","BN1 2AA","AD00003"
8080898804,427,"The Forbury","Bloomsbury Square","Plymouth","Berkshire","CV1 3AA","AD00004"
9065369813,711,"Jericho Road","Bloomsbury Square","Luton","Norfolk","PE1 1AA","AD00005"
7362173172,1108,"Sovereign Square","Elgin Avenue","Dudley","Worcestershire","NN1 1AA","AD00006"
2953601880,340,"Sovereign Square","Gillespie Road","Bolton","Oxfordshire","EX1 2AA","AD00007"
1997061171,778,"Cathedral Quarter","Askew Road","Brighton","Surrey","WD1 1AA","AD00008"
265017912,317,"The Triangle","Church Street","Blackpool","Leicestershire","RG1 1AA","AD00009"
4747428704,1156,"The Lanes Apartments","Barons Court Road","Norwich","Cambridgeshire","MK1 2AA","AD00010"
7625363082,867,"The Marina","Margravine Road","Southampton","Northumberland","BH1 3AA","AD00011"
690509146,254,"The Hoe Apartment Hotel","Fitzroy Square","Leeds","Staffordshire","LE1 3AA","AD00012"
4571167148,842,"The Broadway","Chipping Norton Street","Crawley","Bristol","FY1 2AA","AD00013"
8858082133,1270,"The Lace House","Kensington Palace Gardens","Reading","Warwickshire","DY1 1AA","AD00014"
2682380557,1146,"The Rufus Centre","Askew Road","Doncaster","Buckinghamshire","DY1 3AA","AD00015"
3008065392,181,"The Quay","The Crescent","Wolverhampton","Greater Manchester","GL1 3AA","AD00016"
365713767,1298,"Deansgate Quays","Parsons Green Lane","Leeds","East Sussex","YO1 3AA","AD00017"
6118607494,597,"The Lexington","Bloomsbury Square","Peterborough","Norfolk","GL1 1AA","AD00018"
4328235230,344,"XYZ Apartments","Barnsbury Road","Manchester","West Sussex","OL1 2AA","AD00019"
7843428607,842,"The Interchange","Kensington Palace Gardens","Liverpool","Worcestershire","CR1 1AA","AD00020"
1830808907,1085,"St Paul's Place","Lyttelton Road","Sheffield","Oxfordshire","BN1 1AA","AD00021"
5916191723,1140,"Castlegate","The Boltons","Salisbury","Merseyside","EX1 2AA","AD00022"
6642066561,227,"Smithfield","The Boltons","Cambridge","Nottinghamshire","YO1 1AA","AD00023"
6458468679,683,"Trinity Walk","Canonbury Grove","Salisbury","Wiltshire","B1 3AA","AD00024"
5266260572,400,"St Paul's Place","Bloomsbury Square","Bristol","Hertfordshire","BL1 3AA","AD00025"
6076879548,1408,"Bede House","Park Avenue Road","Carlisle","Lincolnshire","SO1 2AA","AD00026"
8550167215,268,"Southgate","Park Avenue Road","Manchester","East Sussex","HU1 1AA","AD00027"
5408341801,685,"Wapping Wharf","Sutherland Avenue","Sunderland","North Yorkshire","TS1 2AA","AD00028"
3926858273,377,"Moda Living","Randolph Crescent","Luton","Cheshire","CA1 3AA","AD00029"
253723965,1271,"The Unity Building","Barnsbury Road","Sunderland","Essex","DN1 3AA","AD00030"
6432963656,245,"Humber Street","Thornhill Road","Liverpool","Lincolnshire","DY1 2AA","AD00031"
1657825868,1218,"The Randolph","Elgin Avenue","Kingston upon Hull","Cheshire","HU1 1AA","AD00032"
6650908940,673,"One Park Lane","Wilton Road","Carlisle","Berkshire","HU1 2AA","AD00033"
5259750527,305,"The Regency","Notting Hill Gate","Ipswich","Lincolnshire","EX1 2AA","AD00034"
6477531755,1487,"Jericho Road","Wilton Road","Lincoln","Hampshire","WD1 3AA","AD00035"
4970190046,1498,"The Interchange","Margravine Road","Lincoln","Norfolk","B1 1AA","AD00036"
7132549766,1492,"The Quadrant","Alverstone Street","Birmingham","Shropshire","TS1 1AA","AD00037"
6803925013,1394,"The Curve","Alverstone Street","Milton Keynes","Buckinghamshire","WD1 1AA","AD00038"
2069833984,317,"City Walls","Addison Road","Portsmouth","Bristol","SP1 3AA","AD00039"
8092596204,732,"The Avenue","Askew Road","Plymouth","Suffolk","ST1 2AA","AD00040"
8281533390,414,"The Rufus Centre","Notting Hill Gate","Leeds","Nottinghamshire","GL1 2AA","AD00041"
2443656276,931,"St Paul's Place","Askew Road","Stoke-on-Trent","Oxfordshire","WV1 3AA","AD00042"
3279168732,1243,"Princes Dock","Highbury Fields","Chester","Cumbria","NR1 3AA","AD00043"
2815775611,708,"The Maltings","Highbury Fields","Bradford","Devon","LN1 1AA","AD00044"
5298271111,189,"Arena Central","Parsons Green Lane","Carlisle","Bristol","MK1 2AA","AD00045"
5307772904,494,"The Wave","Highbury Fields","York","South Yorkshire","FY1 2AA","AD00046"
2546994468,271,"Victoria Gate","Chipping Norton Street","Blackburn","Durham","LE1 3AA","AD00047"
9074609589,52,"Castlegate","Elgin Avenue","Sheffield","Merseyside","NR1 3AA","AD00048"
4160671926,682,"Victoria Gate","Elgin Avenue","Newcastle upon Tyne","Nottinghamshire","RG1 1AA","AD00049"
2051089531,1334,"The Brunel Centre","Askew Road","Reading","Somerset","B1 2AA","AD00050"
1294122231,1268,"Kampus","Gillespie Road","Norwich","Staffordshire","PL1 2AA","AD00051"
5397094137,175,"Market Square","Sutherland Avenue","Milton Keynes","East Sussex","CB1 1AA","AD00052"
6733297957,1144,"Ropewalks","Church Street","Stoke-on-Trent","Devon","OX1 2AA","AD00053"
2835138269,1371,"The Barbican","Lyttelton Road","Bristol","West Sussex","ST1 2AA","AD00054"
4161236344,190,"One Park Lane","Highbury Fields","Middlesbrough","Isle of Wight","BD1 1AA","AD00055"
2388338018,1088,"The Docks","Bloomsbury Square","Bolton","Northamptonshire","WV1 3AA","AD00056"
4847222970,835,"The Strand","Barnsbury Road","Reading","East Sussex","FY1 1AA","AD00057"
1774912449,412,"Humber Street","Fitzroy Square","Sheffield","Berkshire","HU1 2AA","AD00058"
7573076207,339,"The Waterfront","Randolph Crescent","Sheffield","Tyne and Wear","BH1 1AA","AD00059"
8990483581,200,"The Waterfront","The Crescent","Coventry","Worcestershire","CH1 1AA","AD00060"
7630136404,1377,"The Vines","Fitzroy Square","Plymouth","Warwickshire","HU1 3AA","AD00061"
8963712141,955,"Hampton","Askew Road","Lincoln","Derbyshire","LE1 1AA","AD00062"
2749684978,440,"The Big One Apartments","Notting Hill Gate","Kingston upon Hull","Greater Manchester","PL1 2AA","AD00063"
333988744,390,"The Bridges","Bramerton Street","Cambridge","City of London","YO1 2AA","AD00064"
