"Dimension_ID","Length","Width","Height"
"DM00001",105,108,58
"DM00002",21,38,70
"DM00003",96,42,39
"DM00004",36,27,53
"DM00005",92,55,38
"DM00006",61,31,8
"DM00007",103,30,76
"DM00008",63,39,81
"DM00009",72,107,110
"DM00010",76,20,29
"DM00011",18,22,97
"DM00012",9,96,15
"DM00013",22,5,79
"DM00014",89,53,45
"DM00015",83,86,68
"DM00016",47,38,5
"DM00017",79,69,53
"DM00018",49,94,93
"DM00019",104,73,79
"DM00020",29,1,62
"DM00021",54,2,60
"DM00022",11,99,38
"DM00023",67,54,52
"DM00024",110,90,31
"DM00025",3,104,32
"DM00026",68,25,59
"DM00027",33,100,34
"DM00028",67,51,53
"DM00029",72,29,46
"DM00030",13,88,84
"DM00031",66,105,106
"DM00032",3,105,46
"DM00033",53,105,97
"DM00034",23,10,25
"DM00035",22,13,30
"DM00036",61,67,73
"DM00037",109,54,54
"DM00038",86,4,86
"DM00039",84,47,95
"DM00040",74,73,84
"DM00041",71,35,54
"DM00042",75,75,11
"DM00043",1,96,86
"DM00044",22,50,77
"DM00045",13,58,89
"DM00046",58,74,47
"DM00047",97,62,87
"DM00048",79,110,72
"DM00049",15,27,110
"DM00050",60,19,88
"DM00051",89,54,53
"DM00052",110,98,101
"DM00053",70,73,51
"DM00054",47,8,84
"DM00055",51,14,80
"DM00056",110,38,64
"DM00057",91,104,93
"DM00058",100,68,58
"DM00059",17,42,48
"DM00060",26,30,108
"DM00061",84,86,31
"DM00062",6,19,105
"DM00063",66,21,102
"DM00064",49,82,8
"DM00065",99,38,47
"DM00066",3,63,74
"DM00067",92,54,86
"DM00068",6,107,71
"DM00069",3,62,15
"DM00070",68,76,3
"DM00071",73,16,70
"DM00072",109,2,8
"DM00073",13,99,1
"DM00074",94,48,92
"DM00075",105,99,75
"DM00076",106,73,47
"DM00077",21,45,38
"DM00078",7,23,67
"DM00079",4,69,33
"DM00080",66,90,98
"DM00081",42,105,16
"DM00082",79,108,48
"DM00083",18,45,23
"DM00084",110,12,52
"DM00085",29,26,102
"DM00086",12,43,43
"DM00087",84,27,108
"DM00088",40,46,17
"DM00089",39,86,81
"DM00090",5,36,44
"DM00091",56,4,109
"DM00092",67,97,19
"DM00093",79,109,13
"DM00094",12,15,82
"DM00095",39,84,81
"DM00096",87,55,67
"DM00097",95,82,4
"DM00098",31,28,15
"DM00099",54,106,91
"DM00100",100,21,21
"DM00101",55,9,41
"DM00102",92,74,18
"DM00103",48,39,45
"DM00104",9,50,102
"DM00105",61,18,50
"DM00106",24,78,100
"DM00107",57,6,62
"DM00108",105,7,44
"DM00109",6,34,70
"DM00110",96,85,103
"DM00111",74,22,110
"DM00112",101,54,53
"DM00113",1,23,38
"DM00114",58,41,20
"DM00115",79,12,57
"DM00116",79,93,35
"DM00117",7,18,35
"DM00118",68,52,14
"DM00119",72,16,45
"DM00120",67,1,9
"DM00121",2,63,8
"DM00122",79,75,110
"DM00123",109,58,74
"DM00124",99,43,90
"DM00125",95,26,49
"DM00126",105,35,10
"DM00127",63,38,66
"DM00128",73,67,49
"DM00129",41,95,30
"DM00130",106,2,35
"DM00131",73,60,23
"DM00132",20,104,49
"DM00133",42,108,87
"DM00134",76,50,18
"DM00135",95,51,71
"DM00136",84,73,101
"DM00137",108,60,82
"DM00138",35,39,1
"DM00139",97,90,109
"DM00140",47,62,49
"DM00141",90,29,94
"DM00142",105,74,93
"DM00143",1,52,70
"DM00144",33,62,103
"DM00145",74,105,29
"DM00146",68,27,90
"DM00147",84,79,89
"DM00148",21,37,82
"DM00149",101,60,21
"DM00150",91,8,17
"DM00151",49,109,55
"DM00152",96,9,35
"DM00153",70,93,33
"DM00154",9,31,30
"DM00155",83,72,95
"DM00156",39,89,56
"DM00157",55,23,67
"DM00158",33,83,105
"DM00159",52,101,32
"DM00160",76,78,22
"DM00161",11,16,46
"DM00162",49,18,51
"DM00163",51,51,74
"DM00164",27,26,2
"DM00165",104,68,26
"DM00166",76,85,38
"DM00167",105,76,62
"DM00168",49,39,44
"DM00169",20,89,104
"DM00170",20,47,63
"DM00171",80,64,64
"DM00172",13,64,47
"DM00173",105,83,92
"DM00174",109,47,5
"DM00175",54,5,60
"DM00176",108,12,22
"DM00177",96,89,52
"DM00178",80,91,71
"DM00179",95,10,87
"DM00180",48,50,21
"DM00181",74,42,53
"DM00182",11,84,83
"DM00183",48,100,74
"DM00184",31,79,69
"DM00185",21,91,20
"DM00186",91,33,86
"DM00187",41,3,34
"DM00188",82,77,101
"DM00189",63,51,95
"DM00190",2,29,22
"DM00191",77,39,68
"DM00192",45,89,33
"DM00193",66,83,101
"DM00194",64,92,60
"DM00195",31,96,69
"DM00196",83,62,30
"DM00197",32,52,34
"DM00198",3,64,20
"DM00199",81,36,74
"DM00200",27,78,35
"DM00201",100,23,73
"DM00202",38,84,82
"DM00203",57,28,52
"DM00204",89,104,22
"DM00205",63,17,28
"DM00206",42,20,51
"DM00207",88,94,35
"DM00208",86,32,71
"DM00209",6,50,91
"DM00210",13,9,71
"DM00211",82,33,97
"DM00212",48,77,40
"DM00213",14,7,46
"DM00214",16,79,15
"DM00215",29,6,46
"DM00216",56,107,104
"DM00217",66,103,100
"DM00218",7,8,7
"DM00219",33,98,10
"DM00220",14,46,40
"DM00221",16,65,59
"DM00222",20,46,66
"DM00223",106,21,95
"DM00224",80,18,57
"DM00225",54,67,68
"DM00226",13,101,63
"DM00227",47,2,110
"DM00228",80,33,59
"DM00229",40,23,6
"DM00230",5,105,83
"DM00231",94,54,1
"DM00232",57,105,69
"DM00233",68,89,22
"DM00234",65,46,43
"DM00235",109,30,61
"DM00236",81,31,102
"DM00237",33,7,79
"DM00238",82,73,44
"DM00239",25,92,100
"DM00240",87,84,7
"DM00241",69,12,54
"DM00242",29,15,58
"DM00243",26,96,70
"DM00244",41,27,85
"DM00245",95,85,47
"DM00246",43,8,97
"DM00247",105,87,11
"DM00248",67,45,80
"DM00249",46,47,79
"DM00250",74,76,105
"DM00251",58,86,85
"DM00252",94,82,27
"DM00253",42,23,106
"DM00254",91,8,59
"DM00255",49,48,50
"DM00256",60,91,21
"DM00257",84,6,39
"DM00258",74,66,75
"DM00259",100,99,32
"DM00260",101,100,24
"DM00261",15,102,39
"DM00262",46,20,77
"DM00263",92,97,106
"DM00264",9,98,17
"DM00265",65,57,67
"DM00266",9,2,23
"DM00267",110,66,20
"DM00268",10,94,14
"DM00269",50,72,50
"DM00270",60,102,78
"DM00271",45,85,98
"DM00272",104,104,2
"DM00273",87,19,107
"DM00274",98,23,33
"DM00275",13,102,19
"DM00276",65,21,13
"DM00277",4,29,90
"DM00278",88,99,14
"DM00279",38,41,8
"DM00280",58,14,17
"DM00281",82,76,54
"DM00282",74,11,86
"DM00283",77,22,60
"DM00284",70,81,80
"DM00285",32,35,61
"DM00286",37,107,18
"DM00287",23,78,81
"DM00288",8,51,46
"DM00289",76,10,96
"DM00290",110,99,9
"DM00291",66,107,59
"DM00292",96,82,25
"DM00293",34,3,24
"DM00294",79,14,72
"DM00295",102,88,103
"DM00296",100,90,72
"DM00297",10,14,43
"DM00298",48,63,56
"DM00299",77,36,37
"DM00300",57,5,44
"DM00301",69,60,10
"DM00302",87,107,89
"DM00303",103,96,82
"DM00304",54,94,56
"DM00305",94,85,74
"DM00306",60,33,71
"DM00307",99,10,9
"DM00308",101,89,99
"DM00309",82,23,106
"DM00310",13,11,2
"DM00311",98,93,11
"DM00312",84,81,50
"DM00313",49,103,12
"DM00314",95,21,40
"DM00315",20,45,37
"DM00316",99,30,3
"DM00317",108,60,68
"DM00318",47,12,93
"DM00319",91,60,1
"DM00320",105,107,48
"DM00321",40,107,51
"DM00322",110,109,79
"DM00323",22,79,28
"DM00324",45,17,14
"DM00325",68,14,34
"DM00326",2,13,33
"DM00327",50,38,99
"DM00328",36,19,5
"DM00329",9,38,16
"DM00330",99,9,101
"DM00331",39,87,8
"DM00332",53,55,58
"DM00333",57,110,34
"DM00334",76,82,22
"DM00335",77,98,102
"DM00336",62,65,87
"DM00337",21,97,31
"DM00338",4,83,95
"DM00339",50,22,82
"DM00340",107,110,72
"DM00341",27,94,67
"DM00342",49,103,29
"DM00343",6,110,49
"DM00344",80,13,54
"DM00345",57,47,12
"DM00346",57,31,56
"DM00347",59,77,29
"DM00348",67,89,17
"DM00349",48,94,55
"DM00350",109,75,26
"DM00351",56,103,109
"DM00352",91,19,19
"DM00353",43,105,88
"DM00354",44,47,8
"DM00355",47,106,57
"DM00356",29,48,86
"DM00357",39,72,19
"DM00358",4,27,4
"DM00359",98,12,67
"DM00360",52,6,55
"DM00361",7,95,60
"DM00362",53,93,78
"DM00363",105,88,107
"DM00364",108,84,26
"DM00365",28,68,62
"DM00366",55,49,66
"DM00367",67,9,67
"DM00368",102,106,89
"DM00369",53,85,34
"DM00370",75,88,23
"DM00371",66,108,89
"DM00372",36,17,13
"DM00373",83,39,100
"DM00374",36,98,28
"DM00375",40,3,92
"DM00376",39,23,76
"DM00377",5,77,34
"DM00378",49,79,62
"DM00379",27,9,6
"DM00380",95,102,39
"DM00381",94,19,40
"DM00382",37,94,57
"DM00383",61,49,76
"DM00384",61,64,109
"DM00385",24,20,74
"DM00386",59,88,75
"DM00387",85,86,94
"DM00388",9,14,20
"DM00389",38,77,75
"DM00390",11,60,84
"DM00391",25,22,70
"DM00392",37,69,17
"DM00393",82,69,3
"DM00394",35,30,77
"DM00395",72,100,110
"DM00396",28,61,67
"DM00397",4,51,63
"DM00398",7,60,106
"DM00399",81,54,7
"DM00400",20,69,59
"DM00401",88,109,100
"DM00402",54,2,87
"DM00403",32,15,62
"DM00404",47,72,20
"DM00405",48,34,34
"DM00406",34,31,104
"DM00407",93,33,22
"DM00408",37,25,12
"DM00409",44,22,54
"DM00410",27,80,52
"DM00411",39,53,27
"DM00412",25,84,25
"DM00413",37,4,86
"DM00414",92,62,72
"DM00415",74,55,31
"DM00416",13,9,66
"DM00417",36,29,24
"DM00418",79,57,20
"DM00419",72,101,54
"DM00420",93,98,102
"DM00421",72,87,28
"DM00422",42,13,76
"DM00423",18,22,13
"DM00424",27,71,41
"DM00425",44,66,13
"DM00426",25,70,57
"DM00427",2,37,3
"DM00428",58,62,29
"DM00429",46,37,4
"DM00430",19,36,98
"DM00431",96,10,3
"DM00432",63,69,67
"DM00433",73,46,70
"DM00434",103,45,21
"DM00435",16,3,100
"DM00436",84,23,51
"DM00437",77,75,65
"DM00438",40,18,60
"DM00439",2,81,75
"DM00440",8,93,88
"DM00441",9,43,107
"DM00442",53,36,5
"DM00443",63,57,30
"DM00444",92,25,55
"DM00445",82,16,44
"DM00446",82,81,76
"DM00447",72,49,30
"DM00448",74,108,40
"DM00449",20,14,39
"DM00450",66,20,88
"DM00451",3,108,100
"DM00452",74,61,67
"DM00453",4,21,49
"DM00454",97,27,53
"DM00455",33,98,11
"DM00456",6,106,27
"DM00457",109,106,52
"DM00458",58,31,13
"DM00459",34,61,83
"DM00460",56,86,99
"DM00461",57,34,6
"DM00462",40,36,9
"DM00463",26,11,78
"DM00464",2,24,81
"DM00465",23,41,89
"DM00466",86,54,8
"DM00467",84,14,11
"DM00468",78,15,70
"DM00469",4,8,69
"DM00470",44,44,103
"DM00471",50,85,57
"DM00472",13,95,91
"DM00473",103,38,29
"DM00474",24,58,5
"DM00475",29,104,18
"DM00476",18,27,67
"DM00477",7,97,12
"DM00478",96,12,99
"DM00479",48,108,103
"DM00480",99,80,88
"DM00481",6,45,63
"DM00482",48,109,84
