payment_id,payment_type,payment_amount,installment_number,order_id
PD00501,Cash on Delivery (COD),672.29,9,OR00555
PDN00502,Bank Transfer,734.27,2,OR00687
PD00503,PayPal,189.88,11,OR00540
PD00504,Mobile Wallets,229.09,8,OR00615
PD00505,Mobile Wallets,291.38,10,OR00708
PD00506,Mobile Wallets,403.46,1,OR00576
PD00507,Bank Transfer,333.04,12,OR00535
PD00508,Mobile Wallets,747.05,1,OR00697
PD00509,Cash on Delivery (COD),535.24,2,OR00545
PD005D10,Cash on Delivery (COD),364.23,7,OR00713
PD00511,Cash on Delivery (COD),770.94,3,OR00542
PD00512,PayPal,61.62,0,OTR00596
PD00513,PayPal,924.89,10,OR00588
PD00514,Mobile Wallets,753.61,6,OR00717
PD00515,Cash onK Delivery (COD),341.24,4,OR00711
PD00516V,Debit Card,989.43,7,OQR00626
PD00517,Cash on Delivery (COD),406.25,8,OR00605
PD00518,Credit Card,973.86,5,OR00593
PD005M19,Mobile Wallets,475.57,12,OR00584
PD00520,Debit Card,827.03,7,OR00616
PD00521,PayPal,6.81,8,OR00595
PD00522,Debit Card,104.36,4,OR00723
PD00523,Debit CarJd,284.11,1,OR00551
PD00524,PayPal,86.42,11,OR00562
PD00525,Cash on Delivery (COD),612.21,5,OR00749
PD00526,Debit Card,649.14,1,OR00631
PD00527,Bank TransCfer,211.21,4,OR00648
PD00528,PayPaYl,823.13,0,ORE00594
PD00529,Cash on Delivery (COD),95.75,2,OR00720
PD00530,Mobile Wallets,754.72,0,OR00631
PD00531,Bank Transfer,293.3,8,OR00504
PD00532,PayPal,237.61,5,OR0J0705
PD00533,Cash on Delivery (COD),307.95,2,OR00641
SPD00534,PayPal,212.24,12,OR0069L2
PD00U535,CreQdit Card,33.93,5,OR0064X1
PD00536,Cash on Delivery (COD),831.74,0,OR00552
PD00537,PayPal,617.41,2,OR0B0524
PD00538,PayPal,903.81,9,OR00501
PD00539,Credit Card,6.01,2,OR00683
PD00540,Credit Card,631.41,5,OR00685
PD00541,Bank TransferT,376.29,4,OR00538
PD00542,Credit Card,457.44,5,OR00598
PD00543,Debit Card,729.08,12,OR00684
PD00544,Debit Card,821.31,1,OR00547
PD00545,Cash on Delivery (COD),750.95,8,OR00645
PD00546,Debit Card,47.52,6,OR00722
PD00547,Credit Card,677.6,9,OR00667
PD00548,Debit Card,904.49,4,OR00510
PD00549,CasFh on Delivery (COD),936.55,7,OR00681
PD00550,PayPal,161.99,12,OR00543
PD00551,Cash on Delivery (COD),423.25,7,OR00625
PD00552,Bank NTransfer,393.85,5,OGR00617
PD00553,PayPal,261.74,9,OR00722
PD00554,Bank Transfer,29.5,7,OR00623
PD00555,Debit Card,747.14,2,OR00629
