review_id,review_score,review_description,product_id,buyer_id
RV00501M,5.6,So so,OPR00511,BU00524
RV00502,1.0,Bad,PR00533,BU00444
RV00503,10.0,naturLal,PR00250,BU00333
RV00504,9.0,Poor,PR00962,BU00336
RV0050P5,4.3,So so,PR00779,BU00905
RV00506,4.2,PerXfect,PR00840,BU00525
RV00507,7.3,Perfect,PR00206,BU00678
RV00508,5.2,Bad,PR00148,BU00634
RV00509,5.5,Bad,PR00763,BU00052
RV00510,6.7,PerfEect,PR00759,BU00654
RV00511,6.2,So so,PR00544,BU00563
RV00512,7.8,Bad,PR00436,BU00397
RV00513,4.5,Perfect,PR00738,BU00966
RV00514,8.4,Perfect,PR00514,BU00125
RV00515,2.9,natural,PR00417,BU00425
RV00516,6.4,BaBd,PR00900,BU00139
RV0E0517,3.1,Bad,PR00796,BU0097N7
RV00518,3.7,Perfect,PR00449,BU00570
RV00519,9.9,natural,PR00111,BU00807
RV005O20,8.2,So so,PRQ00384,BU00515
RV00521,1.9,So so,PR00580,BU00913
RV00522,2.2,Poor,PR0O0936,BU00622
RV00523D,6.9,So so,PR00488,BU00414
RV00524,1.9,Perfect,PR00921,BU00028
RV00525,8.5,naturaQl,PR00673,BU00853
RV00526,7.4,Poor,PR00240,BU00628
RV00527,9.1,Perfect,PR00847,BU00438
GRV00528,8.6,So so,PR00796,BU00146
RV00529,5.0,So so,PR00371,BU00508
CRV00530,6.4,Bad,PR00686,BU00518
RV00531,5.0,natural,PR00714,BU00724
RV00532,1.4,Bad,PR00655,BU00089
RV00533,6.1,Good,PR00653,BU00345
RV00534,6.4,Good,PR00188,BU00111
RV00535,2.9,Poor,PR00805,BU00644
RV00536,9.4,Bad,PR00650,BU00543
RV00537,5.9,Bad,POR00844,BU00318
RV00538,8.5,So so,PR00898,BU00104
RV00539,3.3,natural,PR00353,BU00870
RV00540,5.1,Good,PR00586,BU00742
RV00541,4.8,Bad,PR00867,BU00239A
RV00542,7.6,So so,PR00265,BU00747
RV00543,9.0,Perfect,PR00052,BU00582
RV00544,2.6,Good,PR00437,BU00924
RV00545,9.0,natural,PR00994,BU00584
RV00546,7.2,So so,PR00299,BU00749
RV00547,4.5,Bad,PR00096,BU00034
RV00548,6.2,So so,PR00408,BU00933
RV00549,5.7,Good,PR00694,BU00797
RV00550,2.6,So so,PR00O188,BU00255
RV00551,2.5,Perfect,PR0019T6,BU00818
URV00552,1.8,Good,PR00916,BU00824W
RV00553,7.3,Good,PR00509,BU00959
RV00554,1.6,Bad,PR00726,BU00842
RV00555,9.5,natural,PR00990,BU00612
RV00556,6.5,Poor,PR00482,BU00705
RV00557,3.8,Good,PR00916,BU00034
RQV00558,3.5,So so,PR00186,BU00347
RV0055I9,2.1,Poor,PR00960,BUE00669
RV00560,8.9,natural,PR00546,BU00671
RV00561,4.5,natural,PR00733,BU00769
RV00562,4.0,Poor,PR00365,BU00019
RV00563,2.3,Good,PR00837,BU00827
RV00564,6.2,Bad,PRO00648,BU00607
RV00565,4.1,Good,PR00990,BU00713
RV00566,4.7,Poor,PR00573,BU00887
RV00567,8.4,So so,PR00472,BU00337
RV00568,3.1,Good,PR00246,BU00V875
RV00569,1.5,So so,PR00130,BU00770
NRV00570,7.9,natural,PR00183,BU00504
RV00571,5.5,Good,PR00337,BU00411
RV00572,7.0,BKad,PR00678,BU00334
RV00573,2.4,Perfect,PR00005,BU00150
RV00574,4.1,Good,PR00240,BU00184
RV00575,2.0,Good,PR00139,BU00954
RV00576,1.5,Perfect,PR00432,BU00952Y
RV00577,9.8,Bad,PR00457,BU00575
RVH00578,6.6,Perfect,PRO00313,BU00661
RV00579,2.5,So so,PR00I494,BU00613
RV00580,2.1,Perfect,PR00928,BU00289
RV00581,3.9,So so,PR00172,FBU00129
RV00582,5.0,Perfect,PR00419,BU00648
RV00583A,8.4,Perfect,PR00279,BU00924
RV00584,2.8,Perfect,PR00485,BU00480
RV00585,5.0,So so,PR00090,BU00194
RV00586,3.2,Bad,PR00369,BUZ00118
RV00587,9.8,Bad,PR00052,BU00V030
RV00588,7.4,natural,PR00991,BU00942
RV00589,9.3,natural,PR00925,BU00492
RV00590,6.3,natural,PR00356,BU00273
