review_id,review_score,review_description,product_id,buyer_id
RV00001,3.1,So so,PR00469,BU00398
RV00002,1.7,natural,PR00326,BU00134
RV00003,4,Perfect,PR00684,BU00637
RV00004,5,Bad,PR00810,BU00670
RV00005,8.5,Poor,PR00073,BU00041
RV00006,4,So so,PR00045,BU00528
RV00007,3.1,Good,PR00202,BU00247
RV00008,3.7,Poor,PR00007,BU00307
RV00009,2.2,Bad,PR00484,BU00617
RV00010,6.3,Poor,PR00417,BU00511
RV00011,5.9,So so,PR00429,BU00525
RV00012,1.5,Poor,PR00494,BU00755
RV00013,1.6,So so,PR00930,BU00420
RV00014,2.1,Good,PR00551,BU00679
RV00015,3.3,Good,PR00566,BU00530
RV00016,9.9,natural,PR00580,BU00690
RV00017,8.8,Good,PR00215,BU00139
RV00018,2.2,Good,PR00812,BU00121
RV00019,4.2,So so,PR00589,BU00568
RV00020,5,Perfect,PR00475,BU00318
RV00021,1.3,Bad,PR00956,BU00645
RV00022,8.1,Perfect,PR00406,BU00562
RV00023,2.4,Bad,PR00290,BU00272
RV00024,6,natural,PR00339,BU00579
RV00025,3.9,Perfect,PR00833,BU00946
RV00026,2.7,natural,PR00556,BU00829
RV00027,4.8,Poor,PR00984,BU00027
RV00028,3.9,natural,PR00622,BU00678
RV00029,6.3,Bad,PR00063,BU00513
RV00030,7,Good,PR00270,BU00352
RV00031,2.9,Poor,PR00833,BU00803
RV00032,7.6,natural,PR00430,BU00843
RV00033,7,natural,PR00160,BU00797
RV00034,3.3,Perfect,PR00368,BU00449
RV00035,4.9,Bad,PR00434,BU00006
RV00036,3.1,natural,PR00899,BU00749
RV00037,5,So so,PR00867,BU00458
RV00038,1.9,Bad,PR00509,BU00489
RV00039,6.4,Perfect,PR00574,BU00005
RV00040,9.4,Good,PR00605,BU00421
RV00041,9.9,Good,PR00054,BU00495
RV00042,1.6,So so,PR00232,BU00631
RV00043,3.8,Good,PR00829,BU00584
RV00044,8.9,So so,PR00848,BU00517
RV00045,2.8,Perfect,PR00264,BU00207
