supplier_id,supplier_name,supplier_type,contract_type,number_of_year_of_association,address_id
SP00001,Fay-Rogahn,retailer,C2C,13,AD01962
SP00002,MacGyver LLC,manufacturer,C2C,6,AD01965
SP00003,"Becker, Donnelly and Ortiz",distributor,B2C,13,AD01373
SP00004,Walker-Shanahan,manufacturer,B2B,9,AD01646
SP00005,Marquardt and Sons,manufacturer,C2C,11,AD01806
SP00006,Realmix,manufacturer,C2C,24,AD01173
SP00007,"Gutmann, Miller and Hudson",manufacturer,C2B,14,AD01318
SP00008,"Kassulke, Rohan and Larson",manufacturer,B2B,14,AD01858
SP00009,Hirthe LLC,manufacturer,C2B,8,AD01051
SP00010,Pouros-Hessel,distributor,B2B,20,AD01007
SP00011,"Johns, Dickinson and Gislason",retailer,B2C,28,AD01251
SP00012,"Schoen, Luettgen and Carroll",distributor,C2C,27,AD01795
SP00013,Bins-McKenzie,manufacturer,C2C,30,AD01195
SP00014,Lubowitz-Torp,manufacturer,C2C,16,AD01852
SP00015,"Wuckert, Runolfsdottir and Schultz",manufacturer,B2B,1,AD01956
SP00016,Huel-Champlin,wholesaler,B2B,7,AD01038
SP00017,Bode-Veum,distributor,C2B,9,AD01404
SP00018,Gorczany LLC,manufacturer,B2B,23,AD01245
SP00019,"Shields, Hansen and Purdy",distributor,C2B,8,AD01113
SP00020,Bins and Sons,retailer,B2C,22,AD01987
SP00021,Ernser-Paucek,wholesaler,B2C,27,AD01658
SP00022,Brekke-Gutkowski,manufacturer,C2C,16,AD01947
SP00023,Flatley and Sons,distributor,C2C,26,AD01844
SP00024,"Hills, Ledner and Sporer",manufacturer,B2B,17,AD01873
SP00025,Little and Sons,wholesaler,C2B,6,AD01657
SP00026,"Hilpert, Koss and Towne",wholesaler,B2B,8,AD01718
SP00027,Hegmann-Tillman,manufacturer,C2B,21,AD01314
SP00028,Vinte,distributor,B2C,6,AD01066
SP00029,Okuneva-Heaney,manufacturer,B2C,25,AD01487
SP00030,Reynolds-Kris,wholesaler,C2C,4,AD01826
SP00031,O'Hara-Hessel,manufacturer,B2B,9,AD01669
SP00032,Marvin-Jacobson,manufacturer,B2C,17,AD01529
SP00033,"Nicolas, Weissnat and Koepp",manufacturer,C2B,9,AD01544
SP00034,"Torphy, Nikolaus and Lesch",manufacturer,B2C,18,AD01948
SP00035,Dickens-Rodriguez,wholesaler,B2C,12,AD01554
SP00036,"Rolfson, Abernathy and Cartwright",retailer,C2B,2,AD01408
SP00037,Bauch-Luettgen,manufacturer,C2B,2,AD01576
SP00038,"Olson, Marks and Feil",retailer,B2C,23,AD01233
